orf_id,symbol,ensembl_gene_id,chr
2,GBA,ENSG00000177628,1
25,SLC9A3R1,ENSG00000109062,17
138,MYD88,ENSG00000172936,3
167,ACTA2,ENSG00000107796,10
187,FOXA3,ENSG00000170608,19
212,RFX5,ENSG00000143390,1
222,HYLS1,ENSG00000198331,11
253,ALDOA,ENSG00000149925,16
268,CTH,ENSG00000116761,1
269,PEPD,ENSG00000124299,19
281,MVK,ENSG00000110921,12
286,ABHD5,ENSG00000011198,3
300,GALT,ENSG00000213930,9
330,TYROBP,ENSG00000011600,19
344,OXCT1,ENSG00000083720,5
359,CBS,ENSG00000160200,21
369,SERPING1,ENSG00000149131,11
386,STAR,ENSG00000147465,8
420,CLU,ENSG00000120885,8
476,BPGM,ENSG00000172331,7
490,SEMA4A,ENSG00000196189,1
535,ETFA,ENSG00000140374,15
538,CD40,ENSG00000101017,20
550,SPINT2,ENSG00000167642,19
575,AGA,ENSG00000038002,4
611,PRNP,ENSG00000171867,20
669,PTGS2,ENSG00000073756,1
740,MSX2,ENSG00000120149,5
741,TFPI,ENSG00000003436,2
747,RPIA,ENSG00000153574,2
763,CYB5A,ENSG00000166347,18
777,A4GALT,ENSG00000128274,22
786,SCO1,ENSG00000133028,17
817,BCHE,ENSG00000114200,3
825,PLOD1,ENSG00000083444,1
832,SLC25A38,ENSG00000144659,3
835,PCCB,ENSG00000114054,3
837,ASAH1,ENSG00000104763,8
861,LBR,ENSG00000143815,1
877,ARL11,ENSG00000152213,13
879,MAT1A,ENSG00000151224,10
888,PCCA,ENSG00000175198,13
906,MMADHC,ENSG00000168288,2
927,SULT1A1,ENSG00000196502,16
968,PSAT1,ENSG00000135069,9
992,TPP1,ENSG00000166340,11
996,YARS1,ENSG00000134684,1
1008,CDK5R1,ENSG00000176749,17
1026,BMP4,ENSG00000125378,14
1038,PRKAG2,ENSG00000106617,7
1092,LFNG,ENSG00000106003,7
1118,ETNPPL,ENSG00000164089,4
1142,GJA1,ENSG00000152661,6
1155,GAD1,ENSG00000128683,2
1231,AQP1,ENSG00000240583,7
1246,BBS10,ENSG00000179941,12
1258,CRYM,ENSG00000103316,16
1261,PIP4K2A,ENSG00000150867,10
1268,LGI1,ENSG00000108231,10
1274,OMG,ENSG00000126861,17
1284,PTS,ENSG00000150787,11
1317,PAK5,ENSG00000101349,20
1324,SGCE,ENSG00000127990,7
1331,GPAM,ENSG00000119927,10
1350,CALR3,ENSG00000269058,19
1353,HLA-G,ENSG00000204632,6
1355,LARS2,ENSG00000011376,3
1383,TMEM67,ENSG00000164953,8
1392,PRKN,ENSG00000185345,6
1447,MTM1,ENSG00000171100,X
1458,ERAP1,ENSG00000164307,5
1483,CRISP2,ENSG00000124490,6
1485,ESR2,ENSG00000140009,14
1567,GLE1,ENSG00000119392,9
1601,RASA1,ENSG00000145715,5
1641,ZFYVE27,ENSG00000155256,10
1642,KCNJ13,ENSG00000115474,2
1649,MLC1,ENSG00000100427,22
1668,THAP1,ENSG00000131931,8
1671,PNKD,ENSG00000127838,2
1699,KIF6,ENSG00000164627,6
1795,ALG6,ENSG00000088035,1
1805,TGIF1,ENSG00000177426,18
1843,CDKN1B,ENSG00000111276,12
1857,ARL6,ENSG00000113966,3
1884,LIG4,ENSG00000174405,13
1933,MBTPS2,ENSG00000012174,X
1938,CBLB,ENSG00000114423,3
2012,LHFPL5,ENSG00000197753,6
2013,KCNE1,ENSG00000180509,21
2013,KCNE1B,ENSG00000276289,21
2023,SERPIND1,ENSG00000099937,22
2055,DDX20,ENSG00000064703,1
2073,MFSD8,ENSG00000164073,4
2078,TRIM37,ENSG00000108395,17
2088,LRAT,ENSG00000121207,4
2156,PHYH,ENSG00000107537,10
2214,CUL4B,ENSG00000158290,X
2380,KRT8,ENSG00000170421,12
2401,LIPA,ENSG00000107798,10
2416,EBP,ENSG00000147155,X
2419,CHMP2B,ENSG00000083937,3
2430,ILK,ENSG00000166333,11
2442,IMPDH2,ENSG00000178035,3
2448,GRN,ENSG00000030582,17
2450,NOD1,ENSG00000106100,7
2455,PRKAR1A,ENSG00000108946,17
2472,EFNB1,ENSG00000090776,X
2474,ERCC5,ENSG00000134899,13
2488,RAB23,ENSG00000112210,6
2492,BEST1,ENSG00000167995,11
2496,ZNF41,ENSG00000147124,X
2498,SERPINA3,ENSG00000196136,14
2512,ATCAY,ENSG00000167654,19
2521,DNM1L,ENSG00000087470,12
2555,LTA,ENSG00000226979,6
2560,GDAP1,ENSG00000104381,8
2566,MCFD2,ENSG00000180398,2
2571,GGH,ENSG00000137563,8
2584,TFAP2A,ENSG00000137203,6
2613,SULT2B1,ENSG00000088002,19
2622,FAS,ENSG00000026103,10
2648,ACADSB,ENSG00000196177,10
2654,FBP1,ENSG00000165140,9
2665,GJB3,ENSG00000188910,1
2704,PPARG,ENSG00000132170,3
2713,MLH1,ENSG00000076242,3
2729,KYNU,ENSG00000115919,2
2730,CD55,ENSG00000196352,1
2767,GALE,ENSG00000117308,1
2803,HMBS,ENSG00000256269,11
2804,ROM1,ENSG00000149489,11
2810,BMP7,ENSG00000101144,20
2816,C1QB,ENSG00000173369,1
2818,C1QC,ENSG00000159189,1
2857,BSG,ENSG00000172270,19
2862,SLC25A4,ENSG00000151729,4
2866,NEUROD1,ENSG00000162992,2
2869,ETHE1,ENSG00000105755,19
2874,GDI1,ENSG00000203879,X
2877,RGR,ENSG00000148604,10
2888,HMGCL,ENSG00000117305,1
2891,LPL,ENSG00000175445,8
2920,GFAP,ENSG00000131095,17
2922,IGFBP5,ENSG00000115461,2
2924,OLFM2,ENSG00000105088,19
2935,AGT,ENSG00000135744,1
2945,TAFAZZIN,ENSG00000102125,X
3015,CRX,ENSG00000105392,19
3020,CHN1,ENSG00000128656,2
3022,SCARB2,ENSG00000138760,4
3027,SLC19A2,ENSG00000117479,1
3042,CHRNB1,ENSG00000170175,17
3047,SLC47A1,ENSG00000142494,17
3049,IL1A,ENSG00000115008,2
3059,IL1B,ENSG00000125538,2
3093,NEIL1,ENSG00000140398,15
3100,PLAU,ENSG00000122861,10
3116,PRKCSH,ENSG00000130175,19
3125,NME1,ENSG00000239672,17
3135,HSD17B10,ENSG00000072506,X
3174,PDHB,ENSG00000168291,3
3192,CDKN1A,ENSG00000124762,6
3212,ALDH3A2,ENSG00000072210,17
3223,AAAS,ENSG00000094914,12
3226,TOR1A,ENSG00000136827,9
3234,COX6B1,ENSG00000126267,19
3253,KRT18,ENSG00000111057,12
3268,OGG1,ENSG00000114026,3
3290,GSTO1,ENSG00000148834,10
3292,PRPF3,ENSG00000117360,1
3315,ALG12,ENSG00000182858,22
3321,CPT1A,ENSG00000110090,11
3359,NSDHL,ENSG00000147383,X
3372,PDE6B,ENSG00000133256,4
3408,FH,ENSG00000091483,1
3419,EXT1,ENSG00000182197,8
3426,HSD17B4,ENSG00000133835,5
3435,MCHR1,ENSG00000128285,22
3438,TMEM43,ENSG00000170876,3
3441,RPS19,ENSG00000105372,19
3454,CCKBR,ENSG00000110148,11
3467,SLC7A7,ENSG00000155465,14
3468,NDUFAF1,ENSG00000137806,15
3505,NHP2,ENSG00000145912,5
3513,PPARA,ENSG00000186951,22
3534,GPX1,ENSG00000233276,3
3535,EMD,ENSG00000102119,X
3548,ZDHHC9,ENSG00000188706,X
3564,NEU1,ENSG00000204386,6
3568,FANCG,ENSG00000221829,9
3581,MCOLN1,ENSG00000090674,19
3583,COX10,ENSG00000006695,17
3586,DDB2,ENSG00000134574,11
3594,SYNGR1,ENSG00000100321,22
3610,CHGA,ENSG00000100604,14
3643,EIF2B4,ENSG00000115211,2
3664,PGAM2,ENSG00000164708,7
3668,SQSTM1,ENSG00000161011,5
3670,DUSP23,ENSG00000158716,1
3680,MPDU1,ENSG00000129255,17
3682,IDH3B,ENSG00000101365,20
3693,TUFM,ENSG00000178952,16
3697,NF2,ENSG00000186575,22
3699,ZNF24,ENSG00000172466,18
3718,FDFT1,ENSG00000079459,8
3727,NCF2,ENSG00000116701,1
3731,PRPS1,ENSG00000147224,X
3732,UROD,ENSG00000126088,1
3743,LAMP2,ENSG00000005893,X
3756,VAPB,ENSG00000124164,20
3774,TP53,ENSG00000141510,17
3777,TGM2,ENSG00000198959,20
3800,EPHX1,ENSG00000143819,1
3803,HTR3A,ENSG00000166736,11
3833,HSPD1,ENSG00000144381,2
3844,ACY1,ENSG00000243989,3
3856,UCHL1,ENSG00000154277,4
3865,APEX1,ENSG00000100823,14
3872,KEL,ENSG00000197993,7
3878,TRIM32,ENSG00000119401,9
3903,LMNA,ENSG00000160789,1
3912,TGFBI,ENSG00000120708,5
3928,CCM2,ENSG00000136280,7
3945,RAPSN,ENSG00000165917,11
3947,ALDH6A1,ENSG00000119711,14
3987,DPAGT1,ENSG00000172269,11
4007,FUS,ENSG00000089280,16
4014,CHRNA3,ENSG00000080644,15
4019,CDK4,ENSG00000135446,12
4043,COQ8A,ENSG00000163050,1
4046,RLBP1,ENSG00000140522,15
4062,PLP1,ENSG00000123560,X
4066,HSPB8,ENSG00000152137,12
4099,TNNT2,ENSG00000118194,1
4108,SLC25A15,ENSG00000102743,13
4114,ACSM3,ENSG00000005187,16
4122,GNPTAB,ENSG00000111670,12
4126,STAT1,ENSG00000115415,2
4129,TAP2,ENSG00000204267,6
4166,NCF1,ENSG00000158517,7
4177,SOX10,ENSG00000100146,22
4190,ALG3,ENSG00000214160,3
4193,CBR3,ENSG00000159231,21
4203,RET,ENSG00000165731,10
4251,FTL,ENSG00000087086,19
4300,DHCR24,ENSG00000116133,1
4311,CD44,ENSG00000026508,11
4414,GSTA2,ENSG00000244067,6
4421,VKORC1,ENSG00000167397,16
4453,HRAS,ENSG00000174775,11
4481,B4GALT7,ENSG00000027847,5
4482,NMB,ENSG00000197696,15
4506,APOD,ENSG00000189058,3
4515,PNPO,ENSG00000108439,17
4529,GLB1,ENSG00000170266,3
4566,HK1,ENSG00000156515,10
4570,DKK3,ENSG00000050165,11
4595,TUBA1A,ENSG00000167552,12
4619,ELAC2,ENSG00000006744,17
4634,BCS1L,ENSG00000074582,2
4637,CFB,ENSG00000243649,6
4669,ACAT2,ENSG00000120437,6
4676,SERPINF1,ENSG00000132386,17
4683,PDHA1,ENSG00000131828,X
4687,SMAD4,ENSG00000141646,18
4692,LDHB,ENSG00000111716,12
4711,UMPS,ENSG00000114491,3
4722,MCCC1,ENSG00000078070,3
4723,TPM1,ENSG00000140416,15
4765,ITGB2,ENSG00000160255,21
4768,ADA,ENSG00000196839,20
4815,Z98749.3,ENSG00000283900,22
4829,KHK,ENSG00000138030,2
4832,SPG7,ENSG00000197912,16
4854,ERCC3,ENSG00000163161,2
4857,NR1H3,ENSG00000025434,11
4862,SLC30A2,ENSG00000158014,1
4870,KRT6A,ENSG00000205420,12
4882,EPHX2,ENSG00000120915,8
4888,WNT7A,ENSG00000154764,3
4938,CHRNA1,ENSG00000138435,2
4942,INHA,ENSG00000123999,2
4949,HIF1AN,ENSG00000166135,10
4956,PSEN2,ENSG00000143801,1
4960,PCBD1,ENSG00000166228,10
4981,CLN8,ENSG00000182372,8
5004,OPA3,ENSG00000125741,19
5035,L2HGDH,ENSG00000087299,14
5045,PLTP,ENSG00000100979,20
5052,MMACHC,ENSG00000132763,1
5074,TINF2,ENSG00000092330,14
5082,ACTN4,ENSG00000130402,19
5088,IDS,ENSG00000010404,X
5132,GSS,ENSG00000100983,20
5147,SDHB,ENSG00000117118,1
5181,TPI1,ENSG00000111669,12
5204,HLA-DPB1,ENSG00000223865,6
5209,CD38,ENSG00000004468,4
5218,AMT,ENSG00000145020,3
5229,ANXA11,ENSG00000122359,10
5230,VCP,ENSG00000165280,9
5249,ALDH4A1,ENSG00000159423,1
5311,PYCR3,ENSG00000104524,8
5317,PKM,ENSG00000067225,15
5336,FBXO7,ENSG00000100225,22
5347,TUBB2B,ENSG00000137285,6
5348,AKT1,ENSG00000142208,14
5385,WRAP53,ENSG00000141499,17
5398,SHMT1,ENSG00000176974,17
5410,STK11,ENSG00000118046,19
5438,ATIC,ENSG00000138363,2
5440,EDN3,ENSG00000124205,20
5442,SIX1,ENSG00000126778,14
5446,FGG,ENSG00000171557,4
5447,RGS2,ENSG00000116741,1
5468,SULT1C2,ENSG00000198203,2
5469,DTNA,ENSG00000134769,18
5475,IL18,ENSG00000150782,11
5517,TPMT,ENSG00000137364,6
5529,ACADM,ENSG00000117054,1
5531,CPB2,ENSG00000080618,13
5542,APOC2,ENSG00000234906,19
5555,PEX2,ENSG00000164751,8
5569,PRM1,ENSG00000175646,16
5585,CRYAB,ENSG00000109846,11
5586,CKM,ENSG00000104879,19
5597,IFNGR1,ENSG00000027697,6
5606,CYCS,ENSG00000172115,7
5613,APOA1,ENSG00000118137,11
5619,TIMM8A,ENSG00000126953,X
5628,INS,ENSG00000254647,11
5630,HIBCH,ENSG00000198130,2
5645,GYPA,ENSG00000170180,4
5651,MYOZ2,ENSG00000172399,4
5656,KLK1,ENSG00000167748,19
5666,FPR1,ENSG00000171051,19
5673,PLN,ENSG00000198523,6
5678,SDHD,ENSG00000204370,11
5681,CSRP3,ENSG00000129170,11
5712,TPM3,ENSG00000143549,1
5718,NPPA,ENSG00000175206,1
5719,DPM1,ENSG00000000419,20
5723,SFTPC,ENSG00000168484,8
5732,PPT1,ENSG00000131238,1
5739,NDUFAF5,ENSG00000101247,20
5758,FMO2,ENSG00000094963,1
5773,NDUFS7,ENSG00000115286,19
5808,HBB,ENSG00000244734,11
5819,CCT5,ENSG00000150753,5
5865,GAMT,ENSG00000130005,19
5871,HADHB,ENSG00000138029,2
5875,HADHA,ENSG00000084754,2
5880,PAPSS2,ENSG00000198682,10
5886,ELF4,ENSG00000102034,X
5896,AHCY,ENSG00000101444,20
5904,PRKRA,ENSG00000180228,2
5910,DBH,ENSG00000123454,9
5931,ICAM1,ENSG00000090339,19
5935,RAC2,ENSG00000128340,22
5946,ZNF350,ENSG00000256683,19
5970,TRIB3,ENSG00000101255,20
5984,SC5D,ENSG00000109929,11
5996,AGPAT2,ENSG00000169692,9
5997,AMACR,ENSG00000242110,5
6007,CD151,ENSG00000177697,11
6035,SCARB1,ENSG00000073060,12
6058,SLC25A13,ENSG00000004864,7
6066,MLPH,ENSG00000115648,2
6069,LYZ,ENSG00000090382,12
6089,ALG8,ENSG00000159063,11
6096,MPV17,ENSG00000115204,2
6120,SNCA,ENSG00000145335,4
6137,PITX1,ENSG00000069011,5
6146,IVD,ENSG00000128928,15
6151,HIF1A,ENSG00000100644,14
6157,OPTN,ENSG00000123240,10
6159,TIMP3,ENSG00000100234,22
6189,GM2A,ENSG00000196743,5
6191,MECP2,ENSG00000169057,X
6192,BTC,ENSG00000174808,4
6193,RBM28,ENSG00000106344,7
6198,PC,ENSG00000173599,11
6210,DRD2,ENSG00000149295,11
6211,BAAT,ENSG00000136881,9
6231,SDC3,ENSG00000162512,1
6238,PFKM,ENSG00000152556,12
6241,BMI1,ENSG00000168283,10
6246,ATP1A3,ENSG00000105409,19
6300,BHMT,ENSG00000145692,5
6310,ERCC8,ENSG00000049167,5
6313,GATA1,ENSG00000102145,X
6336,MYL2,ENSG00000111245,12
6341,HBG2,ENSG00000196565,11
6356,TCAP,ENSG00000173991,17
6406,LDB3,ENSG00000122367,10
6416,HTN3,ENSG00000205649,4
6426,MYL3,ENSG00000160808,3
6454,HEXA,ENSG00000213614,15
6475,CD36,ENSG00000135218,7
6484,PSENEN,ENSG00000205155,19
6494,HSD17B2,ENSG00000086696,16
6512,UBE3A,ENSG00000114062,15
6541,ACOX1,ENSG00000161533,17
6622,POLG2,ENSG00000256525,17
6635,NDUFA13,ENSG00000186010,19
6654,NUDT6,ENSG00000170917,4
6672,FHL1,ENSG00000022267,X
6690,SLC18A1,ENSG00000036565,8
6701,ACTC1,ENSG00000159251,15
6733,BLMH,ENSG00000108578,17
6746,HCCS,ENSG00000004961,X
6753,UQCRQ,ENSG00000164405,5
6760,MSH5,ENSG00000204410,6
6761,CBR1,ENSG00000159228,21
6786,DKC1,ENSG00000130826,X
6796,UTP4,ENSG00000141076,16
6797,AK2,ENSG00000004455,1
6804,ISYNA1,ENSG00000105655,19
6806,PLOD3,ENSG00000106397,7
6853,MBD4,ENSG00000129071,3
6857,TALDO1,ENSG00000177156,11
6859,EIF2B2,ENSG00000119718,14
6864,GLUL,ENSG00000135821,1
6869,LHX4,ENSG00000121454,1
6892,EXT2,ENSG00000151348,11
6911,GGCX,ENSG00000115486,2
6922,RTN4R,ENSG00000040608,22
6947,TPM2,ENSG00000198467,9
6954,UCP2,ENSG00000175567,11
6960,RPL11,ENSG00000142676,1
6974,NOP10,ENSG00000182117,15
6983,PITX2,ENSG00000164093,4
7000,COMT,ENSG00000093010,22
7012,HPGD,ENSG00000164120,4
7047,ETFDH,ENSG00000171503,4
7064,DTNBP1,ENSG00000047579,6
7114,BTD,ENSG00000169814,3
7136,BST1,ENSG00000109743,4
7147,EFEMP1,ENSG00000115380,2
7154,SLC22A5,ENSG00000197375,5
7157,KCNE4,ENSG00000152049,2
7162,HOXB6,ENSG00000108511,17
7167,AIPL1,ENSG00000129221,17
7177,ACTB,ENSG00000075624,7
7198,RXRG,ENSG00000143171,1
7201,RAD51D,ENSG00000185379,17
7205,GBE1,ENSG00000114480,3
7215,NR0B1,ENSG00000169297,X
7235,SLC33A1,ENSG00000169359,3
7270,PQBP1,ENSG00000102103,X
7280,CLDN14,ENSG00000159261,21
7301,TBX22,ENSG00000122145,X
7320,ARSA,ENSG00000100299,22
7322,GUSB,ENSG00000169919,7
7323,PMP22,ENSG00000109099,17
7354,SLC25A22,ENSG00000177542,11
7360,TBXAS1,ENSG00000059377,7
7389,CTRC,ENSG00000162438,1
7406,ASS1,ENSG00000130707,9
7415,SPP1,ENSG00000118785,4
7423,AKR1C3,ENSG00000196139,10
7436,SDHA,ENSG00000073578,5
7463,PHKG2,ENSG00000156873,16
7473,GSTZ1,ENSG00000100577,14
7482,SLC35C1,ENSG00000181830,11
7515,XRCC4,ENSG00000152422,5
7569,NDUFV1,ENSG00000167792,11
7580,ABAT,ENSG00000183044,16
7587,NR3C1,ENSG00000113580,5
7588,FLCN,ENSG00000154803,17
7601,DGUOK,ENSG00000114956,2
7608,CTSK,ENSG00000143387,1
7619,CTSG,ENSG00000100448,14
7630,FASLG,ENSG00000117560,1
7634,CSNK1D,ENSG00000141551,17
7637,CFP,ENSG00000126759,X
7649,POF1B,ENSG00000124429,X
7651,IL2RG,ENSG00000147168,X
7652,STXBP1,ENSG00000136854,9
7653,EDNRB,ENSG00000136160,13
7691,SPRY2,ENSG00000136158,13
7699,FANCC,ENSG00000158169,9
7722,NAT2,ENSG00000156006,8
7727,STAT3,ENSG00000168610,17
7728,MPG,ENSG00000103152,16
7756,ANKRD1,ENSG00000148677,10
7774,TRIM5,ENSG00000132256,11
7786,MPI,ENSG00000178802,15
7814,NR1I2,ENSG00000144852,3
7826,FUCA1,ENSG00000179163,1
7828,PORCN,ENSG00000102312,X
7830,SCN1B,ENSG00000105711,19
7866,EFHC1,ENSG00000096093,6
7867,CSF1,ENSG00000184371,1
7868,FAM126A,ENSG00000122591,7
7871,BUB1B,ENSG00000156970,15
7899,G6PC3,ENSG00000141349,17
7918,MSH2,ENSG00000095002,2
7931,SOD1,ENSG00000142168,21
7938,GCDH,ENSG00000105607,19
7940,MMP10,ENSG00000166670,11
7941,NPC2,ENSG00000119655,14
7953,MMP2,ENSG00000087245,16
7957,UROS,ENSG00000188690,10
7966,QDPR,ENSG00000151552,4
7982,HPRT1,ENSG00000165704,X
8007,NDUFA8,ENSG00000119421,9
8022,NDUFS3,ENSG00000213619,11
8038,FCGR2B,ENSG00000072694,1
8047,GJB4,ENSG00000189433,1
8111,IFNAR1,ENSG00000142166,21
8136,RDH5,ENSG00000135437,12
8164,CIDEA,ENSG00000176194,18
8181,GPD2,ENSG00000115159,2
8206,FBLIM1,ENSG00000162458,1
8222,CYP1A1,ENSG00000140465,15
8245,RDH12,ENSG00000139988,14
8264,NIPA1,ENSG00000170113,15
8289,CETP,ENSG00000087237,16
8296,AKR7A3,ENSG00000162482,1
8313,PKLR,ENSG00000143627,1
8314,AOAH,ENSG00000136250,7
8320,SGCA,ENSG00000108823,17
8321,NR0B2,ENSG00000131910,1
8326,IDO1,ENSG00000131203,8
8328,CA1,ENSG00000133742,8
8350,FCAR,ENSG00000186431,19
8370,FCGR3A,ENSG00000203747,1
8372,APOC3,ENSG00000110245,11
8380,SPINK1,ENSG00000164266,5
8401,GP9,ENSG00000169704,3
8402,SERPINI2,ENSG00000114204,3
8406,CPN1,ENSG00000120054,10
8416,DCX,ENSG00000077279,X
8420,ALAS2,ENSG00000158578,X
8422,IHH,ENSG00000163501,2
8438,ALOX15,ENSG00000161905,17
8443,SELPLG,ENSG00000110876,12
8459,ASPA,ENSG00000108381,17
8474,SLC22A11,ENSG00000168065,11
8480,IL12RB1,ENSG00000096996,19
8483,SURF1,ENSG00000148290,9
8500,PROC,ENSG00000115718,2
8514,CYP4F12,ENSG00000186204,19
8515,DPYS,ENSG00000147647,8
8519,HABP2,ENSG00000148702,10
8536,BDNF,ENSG00000176697,11
8556,HPS1,ENSG00000107521,10
8612,F12,ENSG00000131187,5
8666,F8,ENSG00000185010,X
8686,DMD,ENSG00000198947,X
8701,CFH,ENSG00000000971,1
8761,D2HGDH,ENSG00000180902,2
8836,KCNQ2,ENSG00000075043,20
8876,CAPN3,ENSG00000092529,15
8965,COL2A1,ENSG00000139219,12
8993,GNAS,ENSG00000087460,20
8999,TTR,ENSG00000118271,18
9000,EGLN1,ENSG00000135766,1
9005,DPYD,ENSG00000188641,1
9073,ACAT1,ENSG00000075239,11
9083,PANK2,ENSG00000125779,20
9125,NDUFS1,ENSG00000023228,2
9170,ATF6,ENSG00000118217,1
9183,CLCN2,ENSG00000114859,3
9186,KIF1B,ENSG00000054523,1
9194,LDLRAP1,ENSG00000157978,1
9233,CARTPT,ENSG00000164326,5
9310,ADORA3,ENSG00000282608,1
9311,PNMT,ENSG00000141744,17
9314,NDP,ENSG00000124479,X
9316,RPGR,ENSG00000156313,X
9324,FMO3,ENSG00000007933,1
9333,SLC19A3,ENSG00000135917,2
9352,MITF,ENSG00000187098,3
9364,ABCC11,ENSG00000121270,16
9418,HSD17B3,ENSG00000130948,9
9450,KCNE3,ENSG00000175538,11
9485,TNNC1,ENSG00000114854,3
9491,MYO1F,ENSG00000142347,19
9496,IL10RA,ENSG00000110324,11
9499,BANK1,ENSG00000153064,4
9629,ST14,ENSG00000149418,11
9634,CLDN19,ENSG00000164007,1
9715,GDF5,ENSG00000125965,20
9731,TIMM44,ENSG00000104980,19
